season,team,league,division
1969,Oakland Athletics,AL,West
1969,Pittsburgh Pirates,NL,East
1969,San Diego Padres,NL,West
1969,San Francisco Giants,NL,West
1969,St. Louis Cardinals,NL,East
1969,Los Angeles Angels,AL,West
1969,Washington Senators,AL,East
1969,Baltimore Orioles,AL,East
1969,Minnesota Twins,AL,West
1969,Boston Red Sox,AL,East
1969,Philadelphia Phillies,NL,East
1969,Chicago Cubs,NL,East
1969,Atlanta Braves,NL,West
1969,Cincinnati Reds,NL,West
1969,Chicago White Sox,AL,West
1969,Cleveland Guardians,AL,East
1969,New York Yankees,AL,East
1969,Detroit Tigers,AL,East
1969,Houston Astros,NL,West
1969,Kansas City Royals,AL,West
1969,Los Angeles Dodgers,NL,West
1969,Montreal Expos,NL,East
1969,New York Mets,NL,East
1969,Seattle Pilots,AL,West
1970,Oakland Athletics,AL,West
1970,Pittsburgh Pirates,NL,East
1970,San Diego Padres,NL,West
1970,San Francisco Giants,NL,West
1970,St. Louis Cardinals,NL,East
1970,Los Angeles Angels,AL,West
1970,Washington Senators,AL,East
1970,Baltimore Orioles,AL,East
1970,Minnesota Twins,AL,West
1970,Boston Red Sox,AL,East
1970,Philadelphia Phillies,NL,East
1970,Chicago Cubs,NL,East
1970,Atlanta Braves,NL,West
1970,Cincinnati Reds,NL,West
1970,Chicago White Sox,AL,West
1970,Cleveland Guardians,AL,East
1970,New York Yankees,AL,East
1970,Detroit Tigers,AL,East
1970,Houston Astros,NL,West
1970,Kansas City Royals,AL,West
1970,Los Angeles Dodgers,NL,West
1970,Montreal Expos,NL,East
1970,New York Mets,NL,East
1970,Milwaukee Brewers,AL,West
1971,Oakland Athletics,AL,West
1971,Pittsburgh Pirates,NL,East
1971,San Diego Padres,NL,West
1971,San Francisco Giants,NL,West
1971,St. Louis Cardinals,NL,East
1971,Los Angeles Angels,AL,West
1971,Washington Senators,AL,East
1971,Baltimore Orioles,AL,East
1971,Minnesota Twins,AL,West
1971,Boston Red Sox,AL,East
1971,Philadelphia Phillies,NL,East
1971,Chicago Cubs,NL,East
1971,Atlanta Braves,NL,West
1971,Cincinnati Reds,NL,West
1971,Chicago White Sox,AL,West
1971,Cleveland Guardians,AL,East
1971,New York Yankees,AL,East
1971,Detroit Tigers,AL,East
1971,Houston Astros,NL,West
